time,open,high,low,close,volume
2025-06-02 01:00:00,5888.28,5895.68,5888.28,5892.88,175
2025-06-02 01:01:00,5892.88,5895.08,5892.68,5894.18,111
2025-06-02 01:02:00,5894.18,5894.88,5893.38,5894.08,81
2025-06-02 01:03:00,5894.08,5898.28,5893.28,5898.18,82
2025-06-02 01:04:00,5898.08,5898.18,5896.78,5897.08,120
2025-06-02 01:05:00,5897.18,5897.28,5894.58,5894.58,73
2025-06-02 01:06:00,5894.48,5895.38,5892.18,5895.28,130
2025-06-02 01:07:00,5895.28,5895.98,5894.08,5895.78,80
2025-06-02 01:08:00,5895.88,5896.78,5895.58,5895.78,67
2025-06-02 01:09:00,5895.68,5898.18,5895.58,5896.58,115
2025-06-02 01:10:00,5896.68,5898.48,5896.58,5897.78,119
2025-06-02 01:11:00,5897.98,5899.08,5897.88,5898.98,82
2025-06-02 01:12:00,5899.18,5901.68,5898.58,5901.38,117
2025-06-02 01:13:00,5901.28,5901.48,5899.88,5900.98,112
2025-06-02 01:14:00,5900.98,5901.08,5899.88,5900.08,54
2025-06-02 01:15:00,5900.28,5900.98,5900.08,5900.58,61
2025-06-02 01:16:00,5900.58,5900.98,5900.38,5900.38,31
2025-06-02 01:17:00,5899.98,5901.08,5899.98,5900.38,27
2025-06-02 01:18:00,5900.58,5900.68,5900.18,5900.58,15
2025-06-02 01:19:00,5900.48,5900.48,5898.58,5898.88,34
2025-06-02 01:20:00,5898.68,5899.38,5898.38,5899.18,58
2025-06-02 01:21:00,5899.18,5899.28,5897.38,5897.58,46
2025-06-02 01:22:00,5897.58,5897.58,5895.38,5895.38,26
2025-06-02 01:23:00,5895.38,5895.38,5894.38,5894.88,90
2025-06-02 01:24:00,5894.68,5894.88,5893.98,5894.08,23
2025-06-02 01:25:00,5894.08,5894.08,5892.58,5893.68,67
2025-06-02 01:26:00,5893.58,5893.98,5892.58,5892.58,22
2025-06-02 01:27:00,5892.78,5893.48,5891.58,5892.68,69
2025-06-02 01:28:00,5892.88,5895.08,5892.88,5894.98,24
2025-06-02 01:29:00,5895.08,5896.08,5894.98,5895.68,48
2025-06-02 01:30:00,5895.58,5896.58,5895.18,5895.98,57
2025-06-02 01:31:00,5896.08,5896.28,5895.18,5895.48,40
2025-06-02 01:32:00,5895.58,5895.78,5895.18,5895.18,29
2025-06-02 01:33:00,5895.08,5895.68,5894.98,5895.68,15
2025-06-02 01:34:00,5895.58,5895.78,5894.98,5895.48,20
2025-06-02 01:35:00,5895.28,5896.28,5895.18,5896.18,17
2025-06-02 01:36:00,5896.38,5897.78,5894.98,5895.98,51
2025-06-02 01:37:00,5895.78,5896.58,5895.68,5895.98,44
2025-06-02 01:38:00,5896.08,5896.58,5895.98,5895.98,16
2025-06-02 01:39:00,5896.08,5896.28,5895.58,5895.98,16
2025-06-02 01:40:00,5895.58,5895.78,5895.18,5895.68,31
2025-06-02 01:41:00,5895.58,5896.18,5893.98,5894.68,40
2025-06-02 01:42:00,5895.08,5895.08,5894.18,5894.98,18
2025-06-02 01:43:00,5895.28,5895.78,5895.18,5895.68,27
2025-06-02 01:44:00,5895.58,5895.78,5895.08,5895.48,15
2025-06-02 01:45:00,5895.78,5896.18,5895.48,5896.18,10
2025-06-02 01:46:00,5896.38,5896.78,5896.18,5896.48,24
2025-06-02 01:47:00,5896.28,5896.58,5895.48,5895.68,30
2025-06-02 01:48:00,5896.08,5896.28,5894.68,5894.68,29
2025-06-02 01:49:00,5894.88,5895.08,5894.18,5894.18,31
2025-06-02 01:50:00,5894.08,5894.58,5893.08,5893.98,58
2025-06-02 01:51:00,5893.78,5894.58,5893.68,5894.18,23
2025-06-02 01:52:00,5894.08,5894.08,5893.48,5893.98,18
2025-06-02 01:53:00,5893.78,5894.08,5893.48,5893.68,31
2025-06-02 01:54:00,5893.58,5893.78,5892.18,5892.98,41
2025-06-02 01:55:00,5893.08,5893.58,5892.48,5892.48,24
2025-06-02 01:56:00,5892.78,5893.58,5892.68,5892.68,26
2025-06-02 01:57:00,5892.58,5893.08,5892.48,5892.68,11
2025-06-02 01:58:00,5892.88,5893.78,5892.88,5893.78,21
2025-06-02 01:59:00,5894.08,5894.68,5893.68,5894.48,24
2025-06-02 02:00:00,5894.58,5894.58,5892.98,5893.58,43
2025-06-02 02:01:00,5893.48,5893.68,5891.68,5891.98,65
2025-06-02 02:02:00,5891.78,5892.28,5891.18,5891.48,32
2025-06-02 02:03:00,5891.78,5892.28,5891.18,5891.98,29
2025-06-02 02:04:00,5892.08,5892.78,5891.98,5892.68,15
2025-06-02 02:05:00,5893.08,5893.08,5891.68,5891.68,36
2025-06-02 02:06:00,5891.58,5891.98,5891.48,5891.98,11
2025-06-02 02:07:00,5892.28,5892.58,5891.98,5892.48,13
2025-06-02 02:08:00,5892.58,5892.78,5891.98,5892.18,14
2025-06-02 02:09:00,5892.38,5893.08,5892.18,5892.18,11
2025-06-02 02:10:00,5892.08,5892.08,5890.68,5890.98,29
2025-06-02 02:11:00,5890.78,5891.78,5890.68,5890.98,25
2025-06-02 02:12:00,5891.08,5891.28,5890.98,5890.98,18
2025-06-02 02:13:00,5890.78,5891.08,5890.48,5890.68,19
2025-06-02 02:14:00,5890.58,5891.58,5889.28,5891.18,45
2025-06-02 02:15:00,5891.38,5891.78,5890.18,5890.98,33
2025-06-02 02:16:00,5891.28,5891.28,5888.98,5889.98,43
2025-06-02 02:17:00,5889.78,5890.28,5889.68,5889.98,26
2025-06-02 02:18:00,5890.28,5890.28,5890.18,5890.18,2
2025-06-02 02:19:00,5890.38,5891.08,5890.38,5890.48,10
2025-06-02 02:20:00,5890.78,5892.68,5890.68,5892.18,37
2025-06-02 02:21:00,5892.38,5892.58,5891.48,5892.48,29
2025-06-02 02:22:00,5892.28,5892.58,5891.58,5891.68,35
2025-06-02 02:23:00,5891.58,5891.78,5889.98,5890.98,43
2025-06-02 02:24:00,5890.78,5891.78,5890.68,5891.68,32
2025-06-02 02:25:00,5891.88,5891.88,5890.98,5891.48,21
2025-06-02 02:26:00,5891.58,5892.08,5891.48,5891.98,10
2025-06-02 02:27:00,5891.78,5892.08,5890.68,5890.68,23
2025-06-02 02:28:00,5890.58,5891.28,5889.98,5890.68,40
2025-06-02 02:29:00,5891.08,5891.08,5888.98,5889.18,64
2025-06-02 02:30:00,5889.08,5889.21,5886.51,5887.01,138
2025-06-02 02:31:00,5887.0,5888.32,5887.0,5887.52,48
2025-06-02 02:32:00,5887.5,5888.12,5887.02,5888.02,34
2025-06-02 02:33:00,5888.02,5888.32,5887.52,5888.22,40
2025-06-02 02:34:00,5888.2,5888.62,5888.02,5888.22,36
2025-06-02 02:35:00,5888.2,5891.61,5888.2,5891.51,73
2025-06-02 02:36:00,5891.51,5892.61,5891.01,5892.21,72
2025-06-02 02:37:00,5892.2,5892.62,5891.02,5891.02,39
2025-06-02 02:38:00,5891.0,5891.48,5890.98,5890.98,19
2025-06-02 02:39:00,5891.0,5891.28,5890.68,5890.98,22
2025-06-02 02:40:00,5891.0,5891.58,5890.98,5891.48,20
2025-06-02 02:41:00,5891.5,5892.81,5891.5,5892.21,52
2025-06-02 02:42:00,5892.2,5893.58,5891.98,5893.18,33
2025-06-02 02:43:00,5893.2,5893.29,5892.69,5892.99,36
2025-06-02 02:44:00,5893.0,5893.0,5891.99,5892.69,25
2025-06-02 02:45:00,5892.7,5893.31,5891.61,5893.01,103
2025-06-02 02:46:00,5893.01,5893.01,5891.68,5891.68,45
2025-06-02 02:47:00,5891.7,5892.28,5891.68,5892.18,17
2025-06-02 02:48:00,5892.2,5892.59,5891.99,5892.19,22
2025-06-02 02:49:00,5892.2,5893.08,5892.18,5892.68,12
2025-06-02 02:50:00,5892.7,5892.7,5891.99,5892.49,18
2025-06-02 02:51:00,5892.49,5892.49,5891.18,5891.48,33
2025-06-02 02:52:00,5891.5,5891.58,5890.18,5890.48,35
2025-06-02 02:53:00,5890.48,5891.08,5890.48,5890.98,25
2025-06-02 02:54:00,5891.0,5891.58,5890.18,5890.68,25
2025-06-02 02:55:00,5890.7,5890.7,5889.78,5890.48,22
2025-06-02 02:56:00,5890.5,5890.78,5889.98,5890.18,27
2025-06-02 02:57:00,5890.18,5891.28,5890.18,5890.98,39
2025-06-02 02:58:00,5891.0,5891.09,5890.19,5890.49,43
2025-06-02 02:59:00,5890.5,5891.78,5890.48,5891.68,38
2025-06-02 03:00:00,5891.68,5892.62,5890.52,5891.72,139
2025-06-02 03:01:00,5891.7,5894.08,5891.48,5893.68,75
2025-06-02 03:02:00,5893.7,5894.78,5893.68,5894.68,45
2025-06-02 03:03:00,5894.7,5895.28,5894.18,5894.68,40
2025-06-02 03:04:00,5894.7,5895.08,5894.08,5894.18,36
2025-06-02 03:05:00,5894.18,5894.28,5890.98,5892.68,84
2025-06-02 03:06:00,5892.68,5894.08,5892.48,5892.98,51
2025-06-02 03:07:00,5893.0,5895.58,5892.68,5894.98,65
2025-06-02 03:08:00,5895.0,5895.08,5893.98,5893.98,51
2025-06-02 03:09:00,5893.98,5895.38,5893.98,5894.68,35
2025-06-02 03:10:00,5894.7,5895.28,5894.18,5894.48,43
2025-06-02 03:11:00,5894.5,5896.28,5893.98,5896.18,44
2025-06-02 03:12:00,5896.2,5896.28,5894.68,5895.68,40
2025-06-02 03:13:00,5895.7,5895.99,5894.99,5895.19,45
2025-06-02 03:14:00,5895.2,5897.28,5895.18,5897.08,43
2025-06-02 03:15:00,5897.08,5899.09,5896.19,5896.49,96
2025-06-02 03:16:00,5896.5,5897.58,5896.48,5897.18,38
2025-06-02 03:17:00,5897.18,5897.5,5895.48,5896.48,85
2025-06-02 03:18:00,5896.5,5896.79,5895.99,5895.99,37
2025-06-02 03:19:00,5896.0,5896.0,5894.48,5894.48,38
2025-06-02 03:20:00,5894.48,5896.08,5894.48,5894.68,82
2025-06-02 03:21:00,5894.7,5896.18,5894.68,5896.18,51
2025-06-02 03:22:00,5896.2,5896.79,5895.19,5895.69,47
2025-06-02 03:23:00,5895.69,5896.08,5893.98,5895.78,75
2025-06-02 03:24:00,5895.78,5896.11,5895.2,5896.01,26
2025-06-02 03:25:00,5896.0,5896.51,5895.7,5896.01,40
2025-06-02 03:26:00,5896.0,5896.09,5894.79,5895.99,31
2025-06-02 03:27:00,5895.99,5896.08,5893.78,5894.18,46
2025-06-02 03:28:00,5894.2,5894.29,5892.99,5893.69,52
2025-06-02 03:29:00,5893.7,5893.7,5892.99,5892.99,46
2025-06-02 03:30:00,5892.99,5893.29,5890.99,5891.49,76
2025-06-02 03:31:00,5891.49,5891.71,5890.51,5890.81,68
2025-06-02 03:32:00,5890.81,5892.61,5890.7,5892.21,73
2025-06-02 03:33:00,5892.21,5893.29,5891.69,5891.69,69
2025-06-02 03:34:00,5891.69,5892.81,5891.51,5891.51,58
2025-06-02 03:35:00,5891.51,5891.71,5890.69,5891.19,54
2025-06-02 03:36:00,5891.2,5892.82,5891.12,5892.52,62
2025-06-02 03:37:00,5892.52,5893.11,5892.21,5892.71,67
2025-06-02 03:38:00,5892.7,5892.71,5891.71,5891.71,25
2025-06-02 03:39:00,5891.71,5892.11,5889.98,5891.68,88
2025-06-02 03:40:00,5891.7,5892.32,5891.22,5891.72,37
