time,open,high,low,close,volume
2025-05-05 01:00:00,5682.48,5682.68,5674.98,5675.58,136
2025-05-05 01:01:00,5675.78,5677.08,5670.48,5673.08,193
2025-05-05 01:02:00,5673.08,5674.58,5669.98,5674.18,130
2025-05-05 01:03:00,5674.18,5674.18,5670.48,5671.58,101
2025-05-05 01:04:00,5671.38,5674.68,5671.38,5674.58,70
2025-05-05 01:05:00,5674.78,5676.58,5674.38,5676.58,67
2025-05-05 01:06:00,5676.28,5676.28,5671.78,5674.58,78
2025-05-05 01:07:00,5674.68,5677.08,5674.38,5676.88,54
2025-05-05 01:08:00,5677.08,5678.58,5676.48,5677.58,60
2025-05-05 01:09:00,5677.48,5678.18,5674.98,5675.88,56
2025-05-05 01:10:00,5675.78,5676.38,5674.08,5674.58,43
2025-05-05 01:11:00,5674.48,5675.28,5673.48,5675.18,56
2025-05-05 01:12:00,5674.98,5675.18,5673.08,5673.38,58
2025-05-05 01:13:00,5673.48,5673.88,5671.68,5672.68,52
2025-05-05 01:14:00,5672.98,5674.68,5672.98,5673.48,56
2025-05-05 01:15:00,5673.48,5673.88,5672.38,5672.38,39
2025-05-05 01:16:00,5672.18,5672.68,5671.78,5672.18,31
2025-05-05 01:17:00,5671.98,5672.38,5671.68,5672.08,20
2025-05-05 01:18:00,5671.98,5672.38,5671.08,5672.08,42
2025-05-05 01:19:00,5672.48,5672.48,5671.38,5671.58,27
2025-05-05 01:20:00,5671.48,5672.68,5671.48,5671.98,24
2025-05-05 01:21:00,5671.88,5672.18,5671.18,5672.18,16
2025-05-05 01:22:00,5671.98,5674.68,5671.98,5673.88,51
2025-05-05 01:23:00,5673.98,5674.38,5673.58,5674.08,22
2025-05-05 01:24:00,5673.98,5674.38,5673.18,5673.98,25
2025-05-05 01:25:00,5674.18,5675.68,5674.18,5674.58,43
2025-05-05 01:26:00,5674.38,5674.78,5673.78,5674.08,21
2025-05-05 01:27:00,5674.18,5674.18,5672.08,5672.18,40
2025-05-05 01:28:00,5672.38,5673.08,5671.08,5671.18,34
2025-05-05 01:29:00,5671.08,5671.38,5668.18,5670.18,83
2025-05-05 01:30:00,5670.28,5670.98,5669.68,5670.78,35
2025-05-05 01:31:00,5670.98,5673.28,5670.98,5672.08,64
2025-05-05 01:32:00,5671.78,5672.28,5669.98,5670.18,36
2025-05-05 01:33:00,5670.48,5671.28,5669.08,5671.08,59
2025-05-05 01:34:00,5670.78,5670.78,5669.78,5670.48,25
