time,open,high,low,close,volume
2025-07-01 14:32:00,6198.7,6199.01,6198.41,6198.71,14
2025-07-01 14:33:00,6198.7,6198.81,6198.41,6198.41,16
2025-07-01 14:34:00,6198.4,6198.88,6198.38,6198.88,12
2025-07-01 14:35:00,6198.9,6199.51,6198.71,6199.51,35
2025-07-01 14:36:00,6199.5,6199.52,6198.72,6198.92,19
2025-07-01 14:37:00,6198.9,6199.31,6198.41,6198.71,29
2025-07-01 14:38:00,6198.7,6198.79,6198.39,6198.69,9
2025-07-01 14:39:00,6198.7,6199.01,6198.41,6198.41,23
2025-07-01 14:40:00,6198.4,6198.4,6197.69,6197.89,15
2025-07-01 14:41:00,6197.9,6198.78,6197.88,6198.18,24
2025-07-01 14:42:00,6198.18,6198.18,6197.88,6197.92,7
2025-07-01 14:43:00,6197.9,6197.97,6196.87,6197.17,29
2025-07-01 14:44:00,6197.2,6198.31,6196.91,6198.31,24
2025-07-01 14:45:00,6198.3,6198.32,6197.42,6198.32,33
2025-07-01 14:46:00,6198.3,6198.32,6197.22,6197.42,18
2025-07-01 14:47:00,6197.4,6198.32,6197.2,6197.92,36
2025-07-01 14:48:00,6197.9,6198.12,6197.72,6197.92,15
2025-07-01 14:49:00,6197.9,6198.32,6197.9,6198.32,18
2025-07-01 14:50:00,6198.3,6198.32,6196.92,6196.92,18
2025-07-01 14:51:00,6196.9,6197.31,6196.41,6196.71,32
2025-07-01 14:52:00,6196.7,6196.72,6195.92,6195.92,18
2025-07-01 14:53:00,6195.9,6197.01,6195.9,6196.71,29
2025-07-01 14:54:00,6196.71,6197.01,6195.92,6195.92,50
2025-07-01 14:55:00,6195.9,6196.51,6195.9,6196.41,35
2025-07-01 14:56:00,6196.4,6196.72,6194.92,6194.92,65
2025-07-01 14:57:00,6194.9,6195.38,6193.68,6194.18,121
2025-07-01 14:58:00,6194.2,6196.01,6193.91,6195.71,75
2025-07-01 14:59:00,6195.71,6198.01,6195.71,6196.81,96
2025-07-01 15:00:00,6196.81,6198.38,6196.71,6198.18,76
2025-07-01 15:01:00,6198.2,6198.32,6196.42,6196.72,76
2025-07-01 15:02:00,6196.72,6197.49,6195.79,6197.19,60
2025-07-01 15:03:00,6197.2,6197.31,6195.71,6196.71,61
2025-07-01 15:04:00,6196.71,6197.29,6196.19,6196.79,41
2025-07-01 15:05:00,6196.79,6197.48,6196.18,6196.68,48
2025-07-01 15:06:00,6196.7,6197.29,6195.99,6196.19,41
2025-07-01 15:07:00,6196.19,6196.19,6193.68,6193.68,67
2025-07-01 15:08:00,6193.7,6194.09,6192.69,6192.69,64
2025-07-01 15:09:00,6192.7,6193.49,6192.69,6192.99,49
2025-07-01 15:10:00,6192.99,6193.11,6191.21,6192.31,70
2025-07-01 15:11:00,6192.31,6193.82,6192.2,6193.52,92
2025-07-01 15:12:00,6193.5,6194.12,6191.22,6191.72,86
2025-07-01 15:13:00,6191.72,6192.12,6191.22,6191.52,72
2025-07-01 15:14:00,6191.5,6191.82,6191.22,6191.52,18
2025-07-01 15:15:00,6191.52,6192.22,6191.2,6191.62,37
2025-07-01 15:16:00,6191.6,6191.69,6190.69,6191.29,51
2025-07-01 15:17:00,6191.3,6191.72,6190.62,6190.82,44
2025-07-01 15:18:00,6190.8,6191.89,6189.79,6190.49,77
2025-07-01 15:19:00,6190.5,6190.72,6190.12,6190.62,41
2025-07-01 15:20:00,6190.62,6190.92,6190.22,6190.62,40
2025-07-01 15:21:00,6190.6,6190.82,6189.72,6190.12,96
2025-07-01 15:22:00,6190.1,6190.61,6189.41,6189.61,68
2025-07-01 15:23:00,6189.6,6190.11,6189.41,6189.41,29
2025-07-01 15:24:00,6189.4,6189.49,6187.59,6188.39,71
2025-07-01 15:25:00,6188.4,6188.4,6185.89,6186.09,115
2025-07-01 15:26:00,6186.1,6186.19,6184.39,6184.59,67
2025-07-01 15:27:00,6184.6,6186.22,6184.6,6185.92,72
2025-07-01 15:28:00,6185.9,6186.62,6185.42,6186.12,65
2025-07-01 15:29:00,6186.12,6188.22,6185.62,6188.12,88
2025-07-01 15:30:00,6188.1,6190.72,6187.92,6190.62,92
2025-07-01 15:31:00,6190.62,6192.21,6190.62,6191.61,99
2025-07-01 15:32:00,6191.6,6192.51,6190.41,6191.11,69
2025-07-01 15:33:00,6191.1,6192.01,6191.01,6192.01,58
2025-07-01 15:34:00,6192.0,6192.72,6191.42,6192.42,61
2025-07-01 15:35:00,6192.42,6193.72,6192.4,6192.92,33
2025-07-01 15:36:00,6192.92,6193.99,6192.59,6193.09,66
2025-07-01 15:37:00,6193.1,6193.1,6189.59,6189.69,56
2025-07-01 15:38:00,6189.69,6190.48,6189.38,6189.88,62
2025-07-01 15:39:00,6189.9,6189.91,6187.91,6188.11,75
2025-07-01 15:40:00,6188.1,6189.01,6188.1,6188.41,52
2025-07-01 15:41:00,6188.4,6188.71,6187.71,6187.91,41
2025-07-01 15:42:00,6187.9,6188.99,6187.39,6188.59,64
2025-07-01 15:43:00,6188.59,6189.21,6188.39,6189.11,95
2025-07-01 15:44:00,6189.1,6190.52,6188.92,6189.62,67
2025-07-01 15:45:00,6189.6,6190.11,6189.41,6189.71,29
2025-07-01 15:46:00,6189.71,6190.72,6189.4,6190.42,63
2025-07-01 15:47:00,6190.4,6192.02,6190.12,6191.92,42
2025-07-01 15:48:00,6191.9,6192.48,6191.38,6191.58,30
2025-07-01 15:49:00,6191.58,6191.68,6190.58,6190.58,34
2025-07-01 15:50:00,6190.6,6191.18,6190.58,6190.88,18
2025-07-01 15:51:00,6190.88,6191.69,6190.58,6191.09,38
2025-07-01 15:52:00,6191.09,6191.59,6190.39,6190.39,39
2025-07-01 15:53:00,6190.4,6192.17,6190.07,6192.07,41
2025-07-01 15:54:00,6192.1,6192.71,6191.91,6192.61,55
2025-07-01 15:55:00,6192.6,6192.72,6191.92,6192.12,20
2025-07-01 15:56:00,6192.1,6192.49,6191.09,6191.09,37
2025-07-01 15:57:00,6191.09,6192.18,6190.98,6192.08,22
2025-07-01 15:58:00,6192.1,6193.01,6192.1,6192.41,28
2025-07-01 15:59:00,6192.4,6192.51,6191.4,6191.41,28
2025-07-01 16:00:00,6191.41,6193.48,6191.08,6193.08,73
2025-07-01 16:01:00,6193.1,6193.1,6190.89,6192.09,110
2025-07-01 16:02:00,6192.09,6193.19,6192.09,6193.19,58
2025-07-01 16:03:00,6193.2,6193.31,6192.91,6193.11,50
2025-07-01 16:04:00,6193.11,6193.49,6192.89,6193.09,44
2025-07-01 16:05:00,6193.1,6193.11,6192.01,6192.01,16
2025-07-01 16:06:00,6192.0,6192.38,6191.98,6192.28,20
2025-07-01 16:07:00,6192.3,6193.09,6191.99,6192.29,36
2025-07-01 16:08:00,6192.3,6193.28,6192.28,6193.08,32
2025-07-01 16:09:00,6193.08,6194.61,6192.71,6194.51,71
2025-07-01 16:10:00,6194.51,6194.81,6193.51,6193.51,42
2025-07-01 16:11:00,6193.5,6193.59,6192.99,6193.19,22
2025-07-01 16:12:00,6193.2,6194.08,6193.18,6193.68,28
2025-07-01 16:13:00,6193.7,6194.09,6193.49,6193.59,26
2025-07-01 16:14:00,6193.59,6194.18,6193.48,6193.68,29
2025-07-01 16:15:00,6193.68,6193.98,6193.28,6193.98,52
2025-07-01 16:16:00,6194.0,6194.0,6191.68,6191.68,54
2025-07-01 16:17:00,6191.68,6192.0,6190.97,6191.17,26
2025-07-01 16:18:00,6191.2,6191.28,6190.18,6190.18,40
2025-07-01 16:19:00,6190.2,6190.58,6189.18,6189.68,42
2025-07-01 16:20:00,6189.68,6190.59,6188.99,6189.99,46
2025-07-01 16:21:00,6190.0,6190.32,6189.22,6189.22,42
2025-07-01 16:22:00,6189.2,6189.78,6188.18,6189.48,41
2025-07-01 16:23:00,6189.5,6190.02,6189.02,6189.02,21
2025-07-01 16:24:00,6189.0,6190.79,6188.99,6190.19,67
2025-07-01 16:25:00,6190.19,6191.09,6189.99,6190.19,75
2025-07-01 16:26:00,6190.19,6191.09,6189.49,6190.69,65
2025-07-01 16:27:00,6190.7,6191.32,6189.72,6190.02,81
2025-07-01 16:28:00,6190.02,6192.28,6190.02,6190.48,127
2025-07-01 16:29:00,6190.48,6192.08,6190.48,6191.48,106
2025-07-01 16:30:00,6191.48,6195.42,6190.62,6193.92,393
2025-07-01 16:31:00,6193.92,6196.39,6192.99,6195.79,395
2025-07-01 16:32:00,6195.79,6197.09,6194.79,6196.09,333
2025-07-01 16:33:00,6196.09,6196.48,6193.78,6194.68,311
2025-07-01 16:34:00,6194.68,6194.78,6193.18,6194.28,289
2025-07-01 16:35:00,6194.28,6195.09,6192.69,6194.69,309
2025-07-01 16:36:00,6194.69,6197.02,6194.69,6195.92,275
2025-07-01 16:37:00,6195.92,6196.32,6192.99,6193.99,279
2025-07-01 16:38:00,6193.99,6196.28,6193.48,6195.98,255
2025-07-01 16:39:00,6195.98,6196.99,6195.19,6195.99,240
2025-07-01 16:40:00,6195.99,6197.48,6195.58,6195.78,213
2025-07-01 16:41:00,6195.78,6196.48,6195.18,6195.78,217
2025-07-01 16:42:00,6195.78,6195.88,6194.48,6195.68,233
2025-07-01 16:43:00,6195.68,6195.88,6193.29,6193.89,242
2025-07-01 16:44:00,6193.89,6195.19,6192.19,6194.79,261
2025-07-01 16:45:00,6194.79,6197.31,6194.41,6197.01,266
2025-07-01 16:46:00,6197.01,6198.18,6196.68,6197.48,247
2025-07-01 16:47:00,6197.5,6198.58,6196.48,6197.48,224
2025-07-01 16:48:00,6197.48,6200.88,6196.88,6199.38,250
2025-07-01 16:49:00,6199.38,6201.89,6198.39,6201.19,326
2025-07-01 16:50:00,6201.19,6203.88,6200.68,6203.88,291
2025-07-01 16:51:00,6203.88,6205.78,6202.98,6204.78,282
2025-07-01 16:52:00,6204.78,6205.78,6202.38,6204.58,261
2025-07-01 16:53:00,6204.58,6205.48,6203.18,6204.78,194
2025-07-01 16:54:00,6204.78,6205.28,6203.88,6204.28,206
2025-07-01 16:55:00,6204.28,6204.38,6202.27,6202.67,235
2025-07-01 16:56:00,6202.7,6203.28,6201.38,6201.38,223
2025-07-01 16:57:00,6201.38,6201.78,6200.18,6200.78,187
2025-07-01 16:58:00,6200.78,6200.78,6199.49,6200.29,140
2025-07-01 16:59:00,6200.29,6201.31,6199.81,6200.91,128
2025-07-01 17:00:00,6200.91,6203.18,6197.71,6201.28,410
2025-07-01 17:01:00,6201.28,6203.28,6200.48,6201.98,317
2025-07-01 17:02:00,6201.98,6202.78,6200.18,6201.38,292
2025-07-01 17:03:00,6201.38,6202.11,6199.41,6200.01,249
2025-07-01 17:04:00,6200.01,6201.39,6199.89,6200.49,240
2025-07-01 17:05:00,6200.49,6203.39,6200.49,6203.29,285
2025-07-01 17:06:00,6203.3,6203.81,6200.81,6201.41,231
2025-07-01 17:07:00,6201.41,6202.28,6201.31,6201.68,172
2025-07-01 17:08:00,6201.68,6202.48,6200.68,6201.28,192
2025-07-01 17:09:00,6201.28,6201.48,6199.28,6199.68,201
2025-07-01 17:10:00,6199.68,6200.09,6196.99,6197.69,270
2025-07-01 17:11:00,6197.69,6199.89,6197.19,6199.39,223
2025-07-01 17:12:00,6199.39,6202.82,6199.39,6202.52,199
2025-07-01 17:13:00,6202.52,6206.62,6202.32,6205.92,198
