time,open,high,low,close,volume
2025-07-22 14:32:00,6310.2,6310.38,6310.18,6310.38,16
2025-07-22 14:33:00,6310.4,6310.41,6309.71,6310.21,20
2025-07-22 14:34:00,6310.2,6310.39,6310.19,6310.39,11
2025-07-22 14:35:00,6310.4,6310.42,6309.42,6309.92,10
2025-07-22 14:36:00,6309.9,6309.9,6307.88,6308.38,22
2025-07-22 14:37:00,6308.4,6308.88,6308.38,6308.68,20
2025-07-22 14:38:00,6308.7,6308.89,6308.19,6308.39,22
2025-07-22 14:39:00,6308.39,6308.4,6307.68,6308.38,25
2025-07-22 14:40:00,6308.4,6308.42,6307.72,6307.72,27
2025-07-22 14:41:00,6307.7,6308.37,6307.67,6308.17,18
2025-07-22 14:42:00,6308.2,6312.22,6307.92,6312.22,72
2025-07-22 14:43:00,6312.22,6314.12,6310.72,6311.92,139
2025-07-22 14:44:00,6311.92,6312.42,6311.42,6312.32,71
2025-07-22 14:45:00,6312.32,6313.21,6311.92,6312.31,61
2025-07-22 14:46:00,6312.31,6312.89,6312.19,6312.89,26
2025-07-22 14:47:00,6312.9,6313.92,6312.9,6313.92,42
2025-07-22 14:48:00,6313.92,6314.42,6313.72,6314.42,25
2025-07-22 14:49:00,6314.42,6314.72,6314.2,6314.42,24
2025-07-22 14:50:00,6314.4,6314.69,6314.19,6314.39,26
2025-07-22 14:51:00,6314.39,6315.19,6314.29,6315.19,46
2025-07-22 14:52:00,6315.2,6315.72,6314.7,6314.72,36
2025-07-22 14:53:00,6314.72,6315.37,6314.67,6314.87,39
2025-07-22 14:54:00,6314.9,6314.9,6314.38,6314.68,20
2025-07-22 14:55:00,6314.7,6315.37,6314.37,6315.37,20
2025-07-22 14:56:00,6315.37,6316.42,6315.37,6315.42,22
2025-07-22 14:57:00,6315.42,6315.7,6314.37,6315.37,43
2025-07-22 14:58:00,6315.4,6316.18,6315.18,6316.18,22
2025-07-22 14:59:00,6316.18,6316.68,6316.18,6316.38,31
2025-07-22 15:00:00,6316.38,6316.88,6315.68,6316.68,57
2025-07-22 15:01:00,6316.68,6316.7,6315.68,6316.38,17
2025-07-22 15:02:00,6316.4,6316.4,6316.18,6316.38,21
2025-07-22 15:03:00,6316.4,6316.89,6316.39,6316.89,34
2025-07-22 15:04:00,6316.89,6318.21,6316.71,6318.21,32
2025-07-22 15:05:00,6318.21,6318.21,6317.38,6317.38,31
2025-07-22 15:06:00,6317.4,6317.4,6316.37,6316.87,29
2025-07-22 15:07:00,6316.87,6316.9,6316.18,6316.38,19
2025-07-22 15:08:00,6316.38,6316.38,6315.87,6316.17,21
2025-07-22 15:09:00,6316.2,6316.38,6315.88,6316.18,23
2025-07-22 15:10:00,6316.2,6316.68,6315.88,6316.38,24
2025-07-22 15:11:00,6316.38,6316.68,6315.68,6316.18,27
2025-07-22 15:12:00,6316.2,6316.2,6315.78,6315.88,16
2025-07-22 15:13:00,6315.9,6315.9,6315.38,6315.38,19
2025-07-22 15:14:00,6315.4,6316.17,6315.37,6316.17,41
2025-07-22 15:15:00,6316.17,6316.17,6315.69,6315.89,8
2025-07-22 15:16:00,6315.9,6316.38,6314.88,6315.38,40
2025-07-22 15:17:00,6315.4,6315.4,6314.88,6315.18,13
2025-07-22 15:18:00,6315.2,6315.2,6314.38,6314.38,20
2025-07-22 15:19:00,6314.4,6314.67,6314.37,6314.37,8
2025-07-22 15:20:00,6314.4,6316.18,6314.38,6315.38,30
2025-07-22 15:21:00,6315.4,6316.39,6315.39,6315.89,30
2025-07-22 15:22:00,6315.9,6315.92,6315.42,6315.42,6
2025-07-22 15:23:00,6315.42,6315.88,6315.18,6315.38,31
2025-07-22 15:24:00,6315.4,6315.7,6315.18,6315.18,24
2025-07-22 15:25:00,6315.2,6315.88,6315.18,6315.68,14
2025-07-22 15:26:00,6315.7,6317.21,6315.7,6317.21,24
2025-07-22 15:27:00,6317.21,6317.22,6316.9,6316.92,8
2025-07-22 15:28:00,6316.92,6318.22,6316.92,6318.22,24
2025-07-22 15:29:00,6318.2,6318.92,6317.92,6318.42,52
2025-07-22 15:30:00,6318.4,6318.62,6317.42,6317.72,27
2025-07-22 15:31:00,6317.72,6317.72,6316.38,6316.88,41
2025-07-22 15:32:00,6316.9,6317.38,6316.68,6317.38,31
2025-07-22 15:33:00,6317.4,6317.4,6317.19,6317.39,10
2025-07-22 15:34:00,6317.4,6317.71,6317.21,6317.71,17
2025-07-22 15:35:00,6317.71,6317.89,6317.19,6317.39,39
2025-07-22 15:36:00,6317.4,6317.4,6316.38,6316.88,15
2025-07-22 15:37:00,6316.88,6317.18,6316.38,6316.68,13
2025-07-22 15:38:00,6316.7,6317.88,6316.68,6317.88,8
2025-07-22 15:39:00,6317.88,6317.92,6317.42,6317.42,16
2025-07-22 15:40:00,6317.4,6317.68,6316.88,6316.88,13
2025-07-22 15:41:00,6316.9,6317.17,6316.77,6316.87,8
2025-07-22 15:42:00,6316.9,6317.7,6316.87,6317.37,13
2025-07-22 15:43:00,6317.4,6317.4,6316.88,6316.88,8
2025-07-22 15:44:00,6316.9,6317.17,6316.67,6316.67,11
2025-07-22 15:45:00,6316.67,6316.67,6316.17,6316.37,14
2025-07-22 15:46:00,6316.4,6316.68,6316.28,6316.68,9
2025-07-22 15:47:00,6316.7,6317.19,6316.39,6317.19,16
2025-07-22 15:48:00,6317.2,6317.22,6316.72,6316.72,10
2025-07-22 15:49:00,6316.7,6317.38,6316.68,6317.38,13
2025-07-22 15:50:00,6317.4,6318.42,6317.22,6317.92,22
2025-07-22 15:51:00,6317.92,6318.42,6317.82,6317.92,19
2025-07-22 15:52:00,6317.92,6318.89,6317.89,6318.39,22
2025-07-22 15:53:00,6318.4,6318.72,6317.92,6318.42,13
2025-07-22 15:54:00,6318.4,6319.22,6318.4,6318.72,13
2025-07-22 15:55:00,6318.72,6319.18,6318.38,6318.68,22
2025-07-22 15:56:00,6318.68,6318.68,6318.19,6318.39,15
2025-07-22 15:57:00,6318.39,6318.68,6318.38,6318.38,13
2025-07-22 15:58:00,6318.4,6318.4,6317.89,6318.19,16
2025-07-22 15:59:00,6318.19,6318.2,6317.88,6318.18,13
2025-07-22 16:00:00,6318.18,6318.38,6317.38,6317.88,31
2025-07-22 16:01:00,6317.9,6318.38,6317.88,6318.38,21
2025-07-22 16:02:00,6318.4,6318.42,6318.2,6318.42,13
2025-07-22 16:03:00,6318.42,6318.42,6317.72,6318.22,19
2025-07-22 16:04:00,6318.2,6318.68,6317.88,6317.88,16
2025-07-22 16:05:00,6317.9,6318.38,6317.88,6318.38,17
2025-07-22 16:06:00,6318.4,6319.42,6318.4,6319.22,34
2025-07-22 16:07:00,6319.22,6319.22,6317.91,6318.41,24
2025-07-22 16:08:00,6318.41,6318.71,6317.68,6317.68,16
2025-07-22 16:09:00,6317.68,6317.88,6316.68,6317.68,38
2025-07-22 16:10:00,6317.7,6318.39,6317.69,6318.19,25
2025-07-22 16:11:00,6318.2,6318.69,6318.19,6318.39,18
2025-07-22 16:12:00,6318.39,6319.18,6318.38,6318.88,16
2025-07-22 16:13:00,6318.9,6319.22,6318.7,6318.72,14
2025-07-22 16:14:00,6318.72,6318.92,6318.7,6318.72,16
2025-07-22 16:15:00,6318.72,6318.91,6317.61,6318.21,10
2025-07-22 16:16:00,6318.21,6318.41,6317.87,6318.17,19
2025-07-22 16:17:00,6318.2,6318.88,6318.18,6318.68,12
2025-07-22 16:18:00,6318.7,6318.72,6318.42,6318.72,18
2025-07-22 16:19:00,6318.7,6318.7,6318.19,6318.39,19
2025-07-22 16:20:00,6318.4,6318.68,6317.88,6318.18,20
2025-07-22 16:21:00,6318.18,6318.37,6317.67,6317.67,19
2025-07-22 16:22:00,6317.67,6318.17,6317.17,6317.17,21
2025-07-22 16:23:00,6317.2,6317.37,6316.37,6317.17,27
2025-07-22 16:24:00,6317.17,6318.37,6316.87,6318.37,23
2025-07-22 16:25:00,6318.37,6318.37,6317.22,6317.92,35
2025-07-22 16:26:00,6317.9,6318.18,6317.18,6318.18,22
2025-07-22 16:27:00,6318.18,6318.22,6316.22,6316.72,38
2025-07-22 16:28:00,6316.72,6318.68,6316.72,6317.18,76
2025-07-22 16:29:00,6317.2,6317.88,6316.88,6317.88,50
2025-07-22 16:30:00,6317.88,6318.38,6312.92,6312.92,252
2025-07-22 16:31:00,6312.92,6313.71,6311.21,6312.01,314
2025-07-22 16:32:00,6312.01,6312.11,6309.62,6311.22,297
2025-07-22 16:33:00,6311.22,6312.62,6310.52,6311.82,208
2025-07-22 16:34:00,6311.82,6313.42,6311.42,6311.42,175
2025-07-22 16:35:00,6311.42,6313.12,6311.12,6312.42,206
2025-07-22 16:36:00,6312.42,6314.42,6311.92,6314.22,178
2025-07-22 16:37:00,6314.22,6315.72,6314.22,6315.42,175
2025-07-22 16:38:00,6315.42,6318.09,6314.99,6317.59,168
2025-07-22 16:39:00,6317.59,6319.12,6317.42,6318.22,149
2025-07-22 16:40:00,6318.22,6318.42,6316.11,6316.51,216
2025-07-22 16:41:00,6316.51,6317.08,6314.98,6316.58,217
